"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"27-May-2021","27-May-2021","XX","-","1,399.65","1,416.10","1,393.85","1,401.85","1,409.80","1,402.25","8118600","11,434,824,630.00","11,434,824,630.00","798600","-4577400.00"
"26-May-2021","27-May-2021","XX","-","1,367.90","1,402.45","1,362.85","1,397.25","1,396.65","1,397.25","10971600","15,206,670,600.00","15,206,670,600.00","5376000","-6024000.00"
"25-May-2021","27-May-2021","XX","-","1,358.35","1,369.80","1,357.40","1,363.80","1,364.75","1,363.80","10751400","14,667,563,880.00","14,667,563,880.00","11400000","-6187800.00"
"24-May-2021","27-May-2021","XX","-","1,365.00","1,366.70","1,348.50","1,351.80","1,352.30","1,351.80","9763200","13,244,745,090.00","13,244,745,090.00","17587800","-5164200.00"
"21-May-2021","27-May-2021","XX","-","1,352.00","1,362.00","1,351.00","1,359.55","1,360.50","1,359.55","8689200","11,784,160,200.00","11,784,160,200.00","22752000","-3121200.00"
"20-May-2021","27-May-2021","XX","-","1,350.35","1,351.85","1,339.05","1,344.00","1,344.70","1,344.00","4708200","6,330,915,930.00","6,330,915,930.00","25873200","-967200.00"
"19-May-2021","27-May-2021","XX","-","1,344.75","1,361.60","1,337.20","1,342.80","1,341.45","1,342.80","5961000","8,055,166,920.00","8,055,166,920.00","26840400","-695400.00"
"18-May-2021","27-May-2021","XX","-","1,339.95","1,350.30","1,336.20","1,345.95","1,344.80","1,345.95","8112600","10,905,840,480.00","10,905,840,480.00","27535800","-1411800.00"
"17-May-2021","27-May-2021","XX","-","1,324.00","1,336.55","1,324.00","1,334.15","1,334.25","1,334.15","5094000","6,782,717,490.00","6,782,717,490.00","28947600","-851400.00"
"14-May-2021","27-May-2021","XX","-","1,328.20","1,331.60","1,313.05","1,320.60","1,321.05","1,320.60","6025800","7,948,959,780.00","7,948,959,780.00","29799000","-127800.00"
"12-May-2021","27-May-2021","XX","-","1,333.00","1,335.25","1,316.95","1,329.00","1,329.00","1,329.00","6780600","8,989,680,360.00","8,989,680,360.00","29926800","-354000.00"
"11-May-2021","27-May-2021","XX","-","1,342.95","1,348.00","1,331.50","1,337.15","1,338.45","1,337.15","7114800","9,517,193,760.00","9,517,193,760.00","30280800","723600.00"
"10-May-2021","27-May-2021","XX","-","1,356.15","1,359.00","1,343.10","1,347.35","1,347.75","1,347.35","6470400","8,730,236,250.00","8,730,236,250.00","29557200","572400.00"
